ID,SERVER_NAME,SERVER_LOCATION,SERVER_IP,SERIAL_NUMBER,SERVER_TYPE,IS_HOST
1,TRSBRMS1,Lab A - Frame 960,47.168.85.182,CG22221023?,1,1
2,TRSBRMS2,Lab A - Frame 960,47.168.85.183,CG22221029?,1,1
3,TRSBRMS3,Lab A - Frame 434,47.168.90.75,CG22221068,1,1
4,TRSBRMS4,Lab A - Frame 434,47.168.90.76,CG22221032,1,1
5,TRSBRMS5,Lab A - Frame 434,47.168.90.90,CG22221044,1,1
6,TRSBRMS6,Lab A - Frame 434,47.168.90.91,CG22221056,1,1
7,TRSBRMS7,Lab A - Frame 434,47.168.90.140,CG22221034,1,1
8,TRSBRMS8,Lab A - Frame 434,47.168.90.55,CG22221070,1,1
9,TRSBRMS9,Lab A - Frame 434,47.168.90.114,CG22221048,1,1
10,TRSBRMS10,Lab A - Frame 302,47.168.58.171,CG22221064,1,1
11,TRSBRMS11,Lab A - Frame 302,47.168.58.172,CG22221060,1,1
12,TRSBRMS12,Lab A - Frame 434,47.168.85.163,CG22221071,1,1
13,TRSBRMS14,Lab A - Frame 434,47.168.85.164,CG22221047,1,1
14,TRSBRMS15,Lab A - Frame 961,47.168.116.10,GNBWAVN13030891,1,1
15,TRSBRMS16,Lab A - Frame 961,47.168.116.11,GNBWAVN13030886,1,1
16,TRSBRMS17,Lab A - Frame 961,47.168.85.161,GNBWAVN13041098,1,1
17,TRSBRMS18,Lab A - Frame 961,47.168.116.205,GNBWAVN13041093,1,1
18,TRSBRMS19,Lab A - Frame 961,47.168.116.213,GNBWAVN13030954,1,1
19,TRSBRMS20,Lab A - Frame 961,47.168.116.214,GNBWAVN13030949,1,1
20,TRSBRMS21,Lab A - Frame 961,47.168.105.13,GNBWAVN13030896,1,1
21,TRSBRMS23,Lab A - Frame 161,47.168.90.134,GNBWAVN13122428,1,1
22,TRSBRMS24,Lab A - Frame 161,47.168.90.227,GNBWAVN13244326,1,1
23,TRSBRMS25,Lab A - Frame 161,47.168.155.107,GNBWAVN13244327,1,1
24,TRSBRMS26,Lab A - Frame 161, 47.168.155.108,GNBWAVN13244331,1,1
25,TRSBRMS27,Lab A - Frame 161,47.168.155.17,GNBWAVN13244332,1,1
26,TRSBRMS31,Lab A - Frame 161,47.168.155.21,GNBWAVN13254640,1,1
27,TRSBRMS32,Lab A - Frame 161,47.168.90.165,GNBWAVN13254641,1,1
28,TRSBRMS33,Lab A - Frame 161,47.168.155.23,GNBWAVN13264707,1,1
29,TRSBRMS34,Lab A - Frame 161,47.168.155.24,GNBWAVN13264708,1,1
30,TRSBRMS35,Lab A - Frame 161,47.168.90.226,GNBWAVN13264706,1,1
31,TRSBRMS36,Lab A - Frame 399,47.168.161.21,GNBWAVN140509208,1,1
32,TRSBRMS37,Lab A - Frame 399,47.168.161.22,GNBWAVN140509198,1,1
33,TRSBRMS38,Lab A - Frame 161,47.168.155.133,GNBWAVN140509203,1,1
34,TRSBRMS39,Lab A - Frame 161,47.168.155.139,GNBWAVN140809405,1,1
35,TRSBRMS40,Lab A - Frame 434,47.168.41.193,GNBWAVN14402273,1,1
36,TRSBRMS41,Lab A - Frame 473,10.254.139.133 (47.168.56.220),GNBWAVN14402288,1,1
37,TRSBRMS42,Lab A - Frame 473,10.254.139.134  (47.168.56.221),GNBWAVN14412575,1,1
38,TRSBRMS43,Lab A - Frame 316,47.168.41.192,GNBWAVN13224152,1,1
39,TRSBRMS44,Lab A - Frame 302,47.168.85.138,GNBWAVN14402258,1,1
40,TRSBRMS45,Lab A - Frame 302,47.168.85.139,GNBWAVN14300666,1,1
41,TRSBRMS46,Lab A - Frame 465,47.168.150.190,GNBWAVN14412535,1,1
42,TRSBRMS47,Lab A - Frame 960,47.168.85.162,GNBWAVN14412535,1,1
43,TRSBRMS48,Lab A - Frame 316,47.168.90.121,GNBWAVN14412615,1,1
44,TRSBRMS49,Lab A - Frame 316,47.168.41.139,GNBWAVN14300661,1,1
45,TRSBRMS50,Lab A - Frame 434,47.168.90.235,GNBWAVN15156190,1,1
46,TRSBRMS51,Lab A - Frame 434,47.168.90.228,GNBWAVN15156195,1,1
47,TRSBRMS52,Lab A - Frame 961,47.168.105.70,GNBWAVN14402283,1,1
48,TRSBRMS53,Lab A - Frame 961,47.168.105.71,GNBWAVN14412590,1,1
49,TRSBRMS54,Lab A - Frame 961,47.168.116.203,GNBWAVN13030931,1,1
50,TRSBRMS55 (zhhszscp-a2hp01),Lab A - Frame 961,10.254.188.5,GNBWAVN14494593,1,1
51,TRSBRMS56 (oltszscp-a2hp02),Lab A - Frame 961,10.254.188.6,GNBWAVN13061224,1,1
52,TRSBRMS57 (zhhszscp-a2hp11),Lab A - Frame 961,10.254.188.7,GNBWAVN15035114,1,1
53,TRSBRMS58 (zhhszscp-a2hp12),Lab A - Frame 961,10.254.188.8,GNBWAVN15035109,1,1
54,TRSBRMS59 (oltszscp-a2hp21),Lab A - Frame 960,10.254.188.9,CG22221066,1,1
55,TRSBRMS60 (oltszscp-a2hp22),Lab A - Frame 960,10.254.188.10,GNBWAVN13457172,1,1
